"observable","value","error","S","N","T","M"
"energy",0.403217325096154,0.0054800695529523,54,16,0.3,0.5
"Polyak",0.574204646538462,0.00385212344266747,54,16,0.3,0.5
"s_trx2",3.42367835834135,0.00403064531110426,54,16,0.3,0.5
"Myers",0.0835174841947115,0.00361673529834152,54,16,0.3,0.5
