"observable","value","error","S","N","T","M"
"energy",0.4954136683557,0.00427768008979484,33,16,0.3,0.5
"Polyak",0.577278036347673,0.00433646842868435,33,16,0.3,0.5
"s_trx2",3.30662341941553,0.00500284322982421,33,16,0.3,0.5
"Myers",0.0841169456540825,0.00268403020204068,33,16,0.3,0.5
