"matrix","size","error","S"
1,0.394607705606407,0.00524153397965294,96
2,0.382694282665904,0.00441730839446322,96
3,0.387728448878719,0.000467074897025188,96
4,0.371679216647597,0.00293268745921643,96
5,0.3733484001373,0.00491672413759227,96
6,0.394304212116705,0.0130300512700229,96
7,0.379057849610984,0.0106696762163287,96
8,0.393128494759725,0.00844525806369293,96
9,0.397077070652174,0.00548332417914825,96
10,3.47362568229977,0.010047894061367,96
