"observable","value","error","S","N","T","M"
"energy",0.290591205231689,0.0153617221383659,108,16,0.3,0.5
"Polyak",0.590704847010463,0.0103009837274438,108,16,0.3,0.5
"s_trx2",3.50697742264574,0.0139316996896793,108,16,0.3,0.5
