"observable","value","error","S","N","T","M"
"energy",0.295507013081497,0.016284564045985,144,16,0.3,0.5
"Polyak",0.594341664917803,0.00489159416024882,144,16,0.3,0.5
"s_trx2",3.59143916775096,0.0553158332050383,144,16,0.3,0.5
"Myers",0.087407349667716,0.00437485003265852,144,16,0.3,0.5
