"observable","value","error","S","N","T","M"
"energy",0.52121807621134,0.00281241394141075,30,18,0.3,0.5
"Polyak",0.586415292396907,0.00189476994756325,30,18,0.3,0.5
"s_trx2",3.27552288830756,0.00168145509491103,30,18,0.3,0.5
"Myers",0.0868809027319588,0.0011635375653141,30,18,0.3,0.5
