"observable","value","error","S","N","T","M"
"energy",0.523678830603635,0.00442859751922699,30,15,0.3,0.5
"Polyak",0.578073627271744,0.00469055112332835,30,15,0.3,0.5
"s_trx2",3.28761458206404,0.00350287014825914,30,15,0.3,0.5
"Myers",0.0822905468195586,0.00315054126140132,30,15,0.3,0.5
