"matrix","size","error","S"
1,0.389314929424779,0.00375253257672523,72
2,0.37395762400061,0.00485788684352196,72
3,0.373074241753128,0.00809034659269679,72
4,0.387440657758621,0.0101557937061337,72
5,0.36818638375801,0.00565533170654125,72
6,0.386219771780592,0.00667010371275559,72
7,0.371342927746414,0.00800363056913866,72
8,0.376441572276472,0.00444383571494559,72
9,0.461806682850168,0.0279150509789626,72
10,3.48778479227952,0.00810999747144211,72
