"observable","value","error","S","N","T","M"
"energy",0.484810529782693,0.0054494967824035,36,18,0.3,0.5
"Polyak",0.58680256039969,0.00338118414009653,36,18,0.3,0.5
"s_trx2",3.31681589906868,0.00254107122130694,36,18,0.3,0.5
"Myers",0.085020988766007,0.00178462220656414,36,18,0.3,0.5
