"observable","value","error","S","N","T","M"
"Polyak",0.621571943735347,0.00597897608113755,999,16,0.3,0.5
"Polyak",0.612365287262829,0.0144183429466585,999,16,0.3,0.5
"energy",0.225355302193432,0.0117278430118562,999,16,0.3,0.5
"energy",0.227571548431011,0.0113067454122881,999,16,0.3,0.5
"s_trx2",3.57053170485348,0.00791270207651582,999,16,0.3,0.5
"s_trx2",3.59178813129552,0.0123952722119008,999,16,0.3,0.5
