"observable","value","error","S","N","T","M"
"Polyak",0.592127630639916,0.00333388100173221,30,999,0.3,0.5
"Polyak",0.592587510668914,0.0117595590731894,30,999,0.3,0.5
"energy",0.529351595254745,0.00280478240520657,30,999,0.3,0.5
"energy",0.530669807543897,0.00285046641325664,30,999,0.3,0.5
"s_trx2",3.25949660011319,0.00169406965862583,30,999,0.3,0.5
"s_trx2",3.26035948142328,0.00333894480135191,30,999,0.3,0.5
