"observable","value","error","S","N","T","M"
"energy",0.38195264396608,0.00507969405122659,60,16,0.3,0.5
"Polyak",0.563916785279409,0.00602275253131367,60,16,0.3,0.5
"s_trx2",3.4437347634377,0.0071514878701485,60,16,0.3,0.5
"Myers",0.087849330180474,0.00210469004813643,60,16,0.3,0.5
