"observable","value","error","S","N","T","M"
"energy",0.451329695599167,0.00310705146386579,42,24,0.3,0.5
"Polyak",0.587162696446625,0.00182899066916776,42,24,0.3,0.5
"s_trx2",3.34910883128159,0.00330530864543047,42,24,0.3,0.5
"Myers",0.0864576354594112,0.00115721299771163,42,24,0.3,0.5
