"observable","value","error","S","N","T","M"
"energy",0.427696140487348,0.00594371927357649,48,14,0.3,0.5
"Polyak",0.573788063003749,0.00477432261195467,48,14,0.3,0.5
"s_trx2",3.41533642428538,0.00540674354649634,48,14,0.3,0.5
"Myers",0.0774170460871603,0.00167666732439877,48,14,0.3,0.5
