"observable","value","error","S","N","T","M"
"energy",0.435029370938897,0.00465372489276765,42,16,0.3,0.5
"Polyak",0.576949572727273,0.00377339852986568,42,16,0.3,0.5
"s_trx2",3.36659540786427,0.00295780785760252,42,16,0.3,0.5
"Myers",0.0890924714891666,0.0029099990740966,42,16,0.3,0.5
