"observable","value","error","S","N","T","M"
"energy",0.57672440109787,0.00396747149778741,24,16,0.3,0.5
"Polyak",0.580505619161115,0.00335813931297293,24,16,0.3,0.5
"s_trx2",3.22510057305058,0.00284052154635764,24,16,0.3,0.5
"Myers",0.0875873104063057,0.00158778465735464,24,16,0.3,0.5
