"observable","value","error","S","N","T","M"
"energy",0.58139406125,0.00645648804064221,24,10,0.3,0.5
"Polyak",0.552100076268657,0.0135559365968068,24,10,0.3,0.5
"s_trx2",3.30955031348881,0.0154966750458428,24,10,0.3,0.5
"Myers",0.0748602127705224,0.0020426405169618,24,10,0.3,0.5
