"observable","value","error","S","N","T","M"
"energy",0.36174184884058,0.0110352842819307,72,21,0.3,0.5
"Polyak",0.592593643405797,0.00708376939549387,72,21,0.3,0.5
"s_trx2",3.44093981572464,0.0033139556671303,72,21,0.3,0.5
"Myers",0.0860176132608696,0.00157742747576769,72,21,0.3,0.5
