"observable","value","error","S","N","T","M"
"energy",0.320813490016318,0.00678738316708518,96,16,0.3,0.5
"Polyak",0.58399774278297,0.00413935239564574,96,16,0.3,0.5
"s_trx2",3.48391359299807,0.00318718381448637,96,16,0.3,0.5
"Myers",0.0880274043465361,0.00269627011466589,96,16,0.3,0.5
