"matrix","size","error","S"
1,0.378240968450236,0.0107691944014919,36
2,0.332789868690509,0.00985850891180494,36
3,0.33033581619074,0.00844463877316833,36
4,0.409000858848535,0.0163714125468564,36
5,0.414497728139728,0.0142333758841558,36
6,0.363581873227983,0.0180778830406173,36
7,0.39406851604288,0.0138852707214067,36
8,0.37252846138989,0.0192931121218401,36
9,0.691679173653082,0.0359501441774492,36
10,3.68672326353387,0.0255263502218115,36
