"observable","value","error","S","N","T","M"
"energy",0.517009971122578,0.0038439383737283,30,16,0.3,0.5
"Polyak",0.588547267306007,0.00287936918293586,30,16,0.3,0.5
"s_trx2",3.29243075217603,0.00685421773144664,30,16,0.3,0.5
"Myers",0.0850838780839256,0.00108389836800927,30,16,0.3,0.5
