"observable","value","error","S","N","T","M"
"energy",0.371732023124723,0.00970988231783074,72,18,0.3,0.5
"Polyak",0.571333386861962,0.0037604378890672,72,18,0.3,0.5
"s_trx2",3.45784058996893,0.00810326972794555,72,18,0.3,0.5
"Myers",0.089501582512206,0.00807121348027539,72,18,0.3,0.5
