"observable","value","error","S","N","T","M"
"energy",0.359954720353478,0.00551330269530251,72,16,0.3,0.5
"Polyak",0.580950988198404,0.0036905704743034,72,16,0.3,0.5
"s_trx2",3.46828492119726,0.008435132054764,72,16,0.3,0.5
"Myers",0.0901092267844926,0.0038027379106772,72,16,0.3,0.5
