"observable","value","error","S","N","T","M"
"energy",0.300389175557809,0.0324834354104527,192,16,0.3,0.5
"Polyak",0.574644754056795,0.00480674068472401,192,16,0.3,0.5
"s_trx2",3.54024479168357,0.00805201249583453,192,16,0.3,0.5
"Myers",0.0885416993914807,0.00290317595044127,192,16,0.3,0.5
