"observable","value","error","S","N","T","M"
"energy",0.525253301242236,0.00407391643261404,30,40,0.3,0.5
"Polyak",0.59383395610766,0.00275472715325109,30,40,0.3,0.5
"s_trx2",3.26203317349896,0.00238740642887809,30,40,0.3,0.5
"Myers",0.0880206238095238,0.00135138807326224,30,40,0.3,0.5
