"matrix","size","error","S"
1,0.400031790322267,0.00253068423568635,30
2,0.359293394012268,0.00424662382745579,30
3,0.36053009610554,0.00182263335142025,30
4,0.341150075533054,0.00516062545043442,30
5,0.339468633969429,0.00272241608828592,30
6,0.343827570275533,0.00274450910271488,30
7,0.348210888092688,0.00235067193112022,30
8,0.348532687975854,0.00464081677426376,30
9,0.45138561633726,0.0221964278578383,30
10,3.29243075217603,0.00877730505522083,30
