"observable","value","error","S","N","T","M"
"energy",0.433309668923895,0.00370527893993385,48,24,0.3,0.5
"Polyak",0.5845092849018,0.00265299151407043,48,24,0.3,0.5
"s_trx2",3.37194016536416,0.00170382264122706,48,24,0.3,0.5
"Myers",0.0867726799509002,0.00163650860825688,48,24,0.3,0.5
