"observable","value","error","S","N","T","M"
"energy",0.488051379644071,0.0113293421474036,36,10,0.3,0.5
"Polyak",0.565394999080184,0.00812735025231146,36,10,0.3,0.5
"s_trx2",3.3919428169766,0.00893970853142832,36,10,0.3,0.5
"Myers",0.0863999152569486,0.00380299682853926,36,10,0.3,0.5
