"matrix","size","error","S"
1,0.398303773127241,0.00745624726073815,54
2,0.37296822676616,0.0108554912483039,54
3,0.371696591530187,0.0122709590909091,54
4,0.367923285415253,0.00511112761218811,54
5,0.366283382507995,0.00477747444587152,54
6,0.375256906289369,0.0049865945673837,54
7,0.371200440701618,0.00384340231712857,54
8,0.358848932726039,0.00431910331170998,54
9,0.435237787702297,0.0214930145183175,54
10,3.41771932660141,0.00584919363344778,54
