"observable","value","error","S","N","T","M"
"energy",0.517839062960254,0.00327081446842165,30,21,0.3,0.5
"Polyak",0.584866834308705,0.00323369599192881,30,21,0.3,0.5
"s_trx2",3.27468651264326,0.00139139928915611,30,21,0.3,0.5
"Myers",0.0884476900146306,0.00122360232828207,30,21,0.3,0.5
