"observable","value","error","S","N","T","M"
"energy",0.44914955274412,0.00960814893003715,42,21,0.3,0.5
"Polyak",0.593272752601568,0.00738318523663721,42,21,0.3,0.5
"s_trx2",3.35195615816108,0.00491814067840671,42,21,0.3,0.5
"Myers",0.0915583869565217,0.00253932798550375,42,21,0.3,0.5
